,Ano,UF,Domicilio_com_internet,celular_com_internet,Uso_de_3G_ou_4G,internet_banda_larga,microcomputador,Tablet,outro_equipamento,Renda_mensal
118498,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,4500.0
118499,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,900.0
118503,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Sim ,3125.0
118504,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1474.0
118505,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Sim ,Não,1431.0
118507,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,1412.0
118509,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,13700.0
118510,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,3450.0
118511,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,3100.0
118513,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1270.0
118514,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,1366.0
118517,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,560.0
118518,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1153.0
118520,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,575.0
118521,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,2500.0
118523,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,607.0
118524,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1709.0
118527,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1000.0
118529,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,2050.0
118531,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,766.0
118532,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,640.0
