,Ano,UF,Tv_assinatura,TV_antena_parabolica,Domicilio_com_internet,celular_com_internet,Uso_de_3G_ou_4G,internet_banda_larga,microcomputador,Tablet,outro_equipamento,Renda_mensal
118386,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,2600.0
118388,2015,Santa Catarina,Sim,Não,Sim,Sim,Não,Sim ,Sim ,Não,Não,325.0
118389,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1329.0
118390,2015,Santa Catarina,Sim,Sim,Sim,Sim,Não,Sim ,Sim ,Não,Não,1125.0
118391,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,819.0
118392,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Sim ,Não,Não,Não,900.0
118393,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1057.0
118394,2015,Santa Catarina,Não,Não,Sim,Sim,Não,Sim ,Sim ,Não,Não,1650.0
118395,2015,Santa Catarina,Não,Não,Sim,Não,Não,Sim ,Sim ,Não,Não,3394.0
118397,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1157.0
118400,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1466.0
118401,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,2229.0
118402,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1200.0
118407,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1062.0
118408,2015,Santa Catarina,Sim,Não,Sim,Sim,Não,Sim ,Sim ,Sim ,Não,4000.0
118410,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,2200.0
118411,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Não,Não,Não,Não,1550.0
118415,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,780.0
118418,2015,Santa Catarina,Sim,Não,Sim,Sim,Não,Sim ,Sim ,Não,Não,1000.0
118419,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1166.0
118420,2015,Santa Catarina,Sim,Não,Sim,Sim,Não,Sim ,Sim ,Não,Não,1300.0
